,16S_1,16S_10,16S_100,16S_101,16S_102,16S_103,16S_104,16S_105,16S_106,16S_107,16S_108,16S_109,16S_11,16S_110,16S_111,16S_112,16S_113,16S_114,16S_115,16S_116,16S_117,16S_118,16S_119,16S_12,16S_120,16S_121,16S_122,16S_123,16S_124,16S_125,16S_126,16S_127,16S_128,16S_129,16S_13,16S_130,16S_131,16S_132,16S_133,16S_134,16S_135,16S_136,16S_137,16S_138,16S_139,16S_14,16S_140,16S_141,16S_142,16S_143,16S_144,16S_145,16S_146,16S_147,16S_148,16S_149,16S_15,16S_150,16S_151,16S_152,16S_153,16S_154,16S_16,16S_17,16S_18,16S_19,16S_2,16S_20,16S_21,16S_22,16S_23,16S_24,16S_25,16S_26,16S_27_r,16S_28,16S_28_r,16S_29,16S_3,16S_30,16S_31,16S_32,16S_33,16S_34,16S_35_r,16S_36,16S_37_r,16S_38,16S_39,16S_4,16S_40,16S_41,16S_42,16S_43,16S_44,16S_45,16S_46,16S_47,16S_48,16S_5,16S_50,16S_51,16S_51_r,16S_52,16S_52_r,16S_53,16S_53_r,16S_54,16S_54_r,16S_55,16S_56,16S_57,16S_58,16S_59,16S_6,16S_60,16S_61,16S_62,16S_63,16S_64,16S_65,16S_66,16S_67,16S_68,16S_69,16S_7,16S_70,16S_71,16S_72,16S_73,16S_74,16S_75,16S_76,16S_78_r,16S_79,16S_8,16S_80_r,16S_81,16S_82,16S_83,16S_84,16S_84_manual,16S_85_r,16S_86,16S_87,16S_88_r,16S_9,16S_90_r,16S_92_r,16S_93,16S_94,16S_95,16S_96_r,16S_97,16S_97_r,16S_98_r,16S_99,16S_P1_ext_neg,16S_P1_mPNA_NTC,16S_P1_mock,16S_P237_NOV_2020,16S_P26_NOV_2020,16S_P2_NTC1_pPNA,16S_P2_ext_neg_1,16S_P2_ext_neg_2,16S_P2_mock,16S_P2_mock_pPNA,16S_P41_NOV_2020,16S_P42_NOV_2020,16S_P43_NOV_2020,16S_P44_NOV_2020
Otu00026,0,0,73,60,165,2,30,9,272,3,85,21,0,2,8,5,169,114,206,219,157,61,98,0,253,72,51,9,29,166,70,217,261,232,0,239,5,56,2,273,232,6,41,32,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,10,0,0,2,0,0,0,6,0,0,0,0,12,0,0,1,0,0,0,7,0,1,0,0,0,0,0,2,0,0,0,4,0,0,5,1,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,2,0,0,3,0
Otu00027,0,0,0,0,0,0,0,0,0,0,2,6,33,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2052,25,1487,4,47,0,22,1243,0,6,0,0,0,0,20,0,26,32,181,23,0,0,0,0,13,0,2,0,85,0,0,7,9,139,44,15,91,0,0,0,0,25,17,3,0,56,0,58,0,0,23,9,1,34,0,0,0,0,0,0,6,0,29,1,24,0,0,0,0,0,8,0,0,0,0,56,2018,2577,1,72,0,0,35,0,0,1802,40,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00028,0,0,0,0,188,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,3,0,125,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,54,0,2,623,0,0,0,0,2,0,0,0,2,0,640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,199,0,0,0,0,0,0,129,0,77,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1358,0,0,581,430,0,460,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,218,0,34,1,0,39,0,0,0,29,2,0,5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,1019,724,349,58,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,263,0,1,0,0,0,0
Otu00031,0,0,25,27,459,27,84,32,21,36,28,46,0,12,25,29,33,17,27,24,41,37,21,6,64,18,669,44,18,21,20,16,18,21,0,19,31,40,0,25,30,40,1043,23,38,2,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,2,27,4,0,0,0,0,0,0,0,0,2,0,0,2,0,12,0,3,0,0,0,0,0,10,15,0,2,24,0,0,2,14,64,8,65,0,7,10,4,0,0,0,0,0,10,14,0,28,0,0,2,0,0,5,0,0,0,0,0,0,0,0,14,3,0,50,3,0,0,38,0,14,0,0,0,19,6,5,0,0,0,1,0,24,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Otu00032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,417,108,411,38,196,10,158,13,0,0,33,5,2,2,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,65,0,0,309,2,0,0,0,41,0,40,1,409,0,0,0,0,0,24,0,0,5,0,0,0,0,0,1900,0,1,0,0,0,0,0,5,4,0,0,50,0,0,0,0,0,0,0,5,0,9,0,0,3,0,2,0,223,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,416,0,2,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00034,0,8,41,2,1,14,1037,4,55,7,50,13,95,0,4,0,50,151,368,52,354,14,31,0,14,47,26,15,25,37,38,56,50,53,0,48,0,44,0,70,76,11,1,11,49,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,25,52,0,6,100,0,9,11,19,7,0,0,2,0,79,4,8,19,9,102,0,0,0,0,15,0,0,0,0,0,7,46,0,4,15,77,0,0,0,0,0,41,23,0,0,14,0,7,0,1,0,53,0,11,9,0,0,0,0,0,2,0,17,0,34,0,0,0,0,19,10,0,0,0,0,57,0,1,0,46,0,0,14,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Otu00035,0,473,3,3,1,0,1,2,4,0,7,6,2,2,0,2,0,2,3,2,1,7,3,0,2,1,1,0,0,3,6,3,2,5,0,2,2,15,0,3,1,0,0,3,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,22,128,0,31,0,2,10,0,0,0,0,73,1,12,138,41,78,0,4,0,11,59,0,467,0,0,0,52,60,0,25,137,137,0,0,0,0,0,228,180,0,0,23,0,0,0,0,14,158,0,70,0,0,0,7,0,1,19,0,37,644,65,0,0,2,0,87,36,0,0,126,4,253,0,5,0,480,0,6,57,0,3,18,12,0,49,0,0,0,6,133,0,0,0,0,0,0,0,0,0,0,10,0,0
Otu00036,7,0,1,0,0,0,2,0,0,0,0,21,2,1,3,0,0,0,0,0,8,0,0,0,0,1,1,0,0,1,0,0,1,1,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,97,0,0,0,1,718,0,112,0,0,31,0,0,0,0,16,0,129,0,15,576,0,0,0,0,64,0,3,0,0,0,0,380,0,13,0,426,0,91,66,0,0,226,180,0,3,44,0,0,269,2,4,446,0,75,1,0,0,84,0,0,0,0,55,0,0,0,74,0,0,0,0,3,0,21,0,1,0,0,0,7,0,0,16,0,0,2,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
