	0-RawData	1-FilterAndTrim	2-ErrorModel	3.1-Dereplication	3.2-Denoising	4-ESV	5-MultipleSequenceAlignment	6-ChimeraRemoval	7-PreClassification	8-Clustering_100	9-TaxaFilter_100	10-MultipletonsFilter_100	11-Subsampling_100	12-Lulu_100
16S_153	196430	169042	169042	169042 (53953 uniques)	164301 (1426 uniques)	155801 (1192 uniques)	155498 (1126 uniques)	143006 (887 uniques)	143006 (887 uniques)	143006 (887 uniques)	140366 (857 uniques)	140295 (817 uniques)	5000 (400 uniques)	5000 (339 uniques)
16S_154	309618	261428	261428	261428 (98308 uniques)	255047 (1757 uniques)	234488 (1723 uniques)	234451 (1610 uniques)	206496 (1051 uniques)	206496 (1051 uniques)	206496 (1051 uniques)	206193 (1039 uniques)	206097 (976 uniques)	5000 (579 uniques)	5000 (422 uniques)
16S_16	30758	26180	26180	26180 (7512 uniques)	25708 (133 uniques)	24850 (91 uniques)	15855 (87 uniques)	15433 (81 uniques)	15433 (81 uniques)	15433 (81 uniques)	15044 (72 uniques)	15044 (72 uniques)	5000 (65 uniques)	5000 (62 uniques)
16S_17	89187	77019	77019	77019 (36141 uniques)	75377 (946 uniques)	71726 (788 uniques)	71689 (765 uniques)	71417 (756 uniques)	71417 (756 uniques)	71417 (756 uniques)	58348 (741 uniques)	58343 (738 uniques)	5000 (588 uniques)	5000 (570 uniques)
16S_18	114936	102661	102661	102661 (24366 uniques)	102243 (180 uniques)	98944 (152 uniques)	98903 (148 uniques)	98843 (143 uniques)	98843 (143 uniques)	98843 (143 uniques)	18342 (138 uniques)	18342 (138 uniques)	5000 (132 uniques)	5000 (131 uniques)
16S_19	194052	171626	171626	171626 (37308 uniques)	170967 (227 uniques)	165952 (181 uniques)	165888 (176 uniques)	165490 (161 uniques)	165490 (161 uniques)	165490 (161 uniques)	23032 (150 uniques)	23032 (150 uniques)	5000 (144 uniques)	5000 (144 uniques)
16S_2	130548	114248	114248	114248 (26615 uniques)	113437 (220 uniques)	111141 (184 uniques)	108755 (137 uniques)	108653 (129 uniques)	108653 (129 uniques)	108653 (129 uniques)	16600 (122 uniques)	16597 (120 uniques)	5000 (113 uniques)	5000 (109 uniques)
16S_20	123416	105049	105049	105049 (35415 uniques)	103340 (739 uniques)	100077 (631 uniques)	89890 (611 uniques)	87332 (547 uniques)	87332 (547 uniques)	87332 (547 uniques)	85480 (535 uniques)	85477 (533 uniques)	5000 (388 uniques)	5000 (366 uniques)
16S_21	201236	174386	174386	174386 (61719 uniques)	172675 (722 uniques)	168242 (622 uniques)	168188 (607 uniques)	165961 (553 uniques)	165961 (553 uniques)	165961 (553 uniques)	133792 (539 uniques)	133787 (536 uniques)	5000 (363 uniques)	5000 (344 uniques)
16S_22	168429	138744	138744	138744 (31624 uniques)	137783 (293 uniques)	131173 (244 uniques)	83824 (232 uniques)	82484 (220 uniques)	82484 (220 uniques)	82484 (220 uniques)	78128 (185 uniques)	78125 (183 uniques)	5000 (114 uniques)	5000 (105 uniques)
16S_23	112638	100973	100973	100973 (38449 uniques)	99557 (810 uniques)	96390 (691 uniques)	96358 (667 uniques)	95996 (656 uniques)	95996 (656 uniques)	95996 (656 uniques)	50618 (644 uniques)	50616 (643 uniques)	5000 (536 uniques)	5000 (516 uniques)
16S_24	131592	115804	115804	115804 (32860 uniques)	115159 (250 uniques)	113494 (219 uniques)	113408 (215 uniques)	113074 (196 uniques)	113074 (196 uniques)	113074 (196 uniques)	42871 (189 uniques)	42869 (188 uniques)	5000 (164 uniques)	5000 (159 uniques)
16S_25	101233	87643	87643	87643 (22620 uniques)	86858 (191 uniques)	84668 (152 uniques)	84376 (146 uniques)	83571 (120 uniques)	83571 (120 uniques)	83571 (120 uniques)	23378 (96 uniques)	23370 (92 uniques)	5000 (87 uniques)	5000 (86 uniques)
16S_26	128230	110745	110745	110745 (43127 uniques)	109358 (714 uniques)	105316 (606 uniques)	105287 (590 uniques)	104063 (554 uniques)	104063 (554 uniques)	104063 (554 uniques)	78458 (537 uniques)	78455 (535 uniques)	5000 (427 uniques)	5000 (406 uniques)
16S_27	884	266	266	266 (240 uniques)	85 (9 uniques)	73 (6 uniques)	70 (5 uniques)	70 (5 uniques)	70 (5 uniques)	70 (5 uniques)	40 (3 uniques)	40 (3 uniques)	/	/
16S_27_r	54991	49756	49756	49756 (7344 uniques)	49574 (38 uniques)	49480 (32 uniques)	49480 (28 uniques)	49480 (28 uniques)	49480 (28 uniques)	49480 (28 uniques)	22294 (22 uniques)	22294 (22 uniques)	5000 (21 uniques)	5000 (21 uniques)
16S_28	49376	40821	40821	40821 (5379 uniques)	40683 (50 uniques)	40633 (45 uniques)	9716 (41 uniques)	9716 (41 uniques)	9716 (41 uniques)	9716 (41 uniques)	9689 (37 uniques)	9689 (37 uniques)	5000 (37 uniques)	5000 (37 uniques)
16S_28_r	49896	41332	41332	41332 (8997 uniques)	40961 (57 uniques)	40111 (46 uniques)	24955 (42 uniques)	24472 (35 uniques)	24472 (35 uniques)	24472 (35 uniques)	24433 (33 uniques)	24433 (33 uniques)	5000 (26 uniques)	5000 (24 uniques)
16S_29	186208	165965	165965	165965 (28928 uniques)	165443 (70 uniques)	164933 (64 uniques)	164908 (58 uniques)	164398 (36 uniques)	164398 (36 uniques)	164398 (36 uniques)	92994 (26 uniques)	92994 (26 uniques)	5000 (15 uniques)	5000 (14 uniques)
16S_3	134148	119128	119128	119128 (57018 uniques)	116752 (1239 uniques)	111026 (1105 uniques)	110950 (1067 uniques)	110336 (1052 uniques)	110336 (1052 uniques)	110336 (1052 uniques)	106707 (1038 uniques)	106692 (1028 uniques)	5000 (706 uniques)	5000 (669 uniques)
16S_30	186504	154266	154266	154266 (33106 uniques)	153089 (424 uniques)	149300 (349 uniques)	94674 (324 uniques)	90762 (296 uniques)	90762 (296 uniques)	90762 (296 uniques)	85816 (263 uniques)	85805 (256 uniques)	5000 (152 uniques)	5000 (144 uniques)
16S_31	87115	79005	79005	79005 (29774 uniques)	77882 (736 uniques)	75308 (627 uniques)	75292 (608 uniques)	75050 (602 uniques)	75050 (602 uniques)	75050 (602 uniques)	35977 (589 uniques)	35976 (588 uniques)	5000 (512 uniques)	5000 (498 uniques)
16S_32	145900	126830	126830	126830 (55204 uniques)	124971 (649 uniques)	120652 (614 uniques)	120526 (591 uniques)	118705 (533 uniques)	118705 (533 uniques)	118705 (533 uniques)	114223 (528 uniques)	114215 (523 uniques)	5000 (375 uniques)	5000 (343 uniques)
16S_33	64699	56069	56069	56069 (24280 uniques)	54708 (627 uniques)	52310 (491 uniques)	52267 (482 uniques)	52058 (473 uniques)	52058 (473 uniques)	52058 (473 uniques)	38842 (451 uniques)	38838 (449 uniques)	5000 (380 uniques)	5000 (374 uniques)
16S_34	81051	70851	70851	70851 (28840 uniques)	69572 (466 uniques)	67125 (401 uniques)	64344 (393 uniques)	63779 (379 uniques)	63779 (379 uniques)	63779 (379 uniques)	53625 (358 uniques)	53619 (355 uniques)	5000 (303 uniques)	5000 (283 uniques)
16S_35	10009	9324	9324	9324 (1220 uniques)	9250 (17 uniques)	9215 (14 uniques)	9215 (12 uniques)	9215 (12 uniques)	9215 (12 uniques)	9215 (12 uniques)	2044 (7 uniques)	2044 (7 uniques)	/	/
16S_35_r	53124	46952	46952	46952 (8482 uniques)	46745 (27 uniques)	46299 (23 uniques)	46285 (19 uniques)	46277 (18 uniques)	46277 (18 uniques)	46277 (18 uniques)	28630 (11 uniques)	28630 (11 uniques)	5000 (9 uniques)	5000 (9 uniques)
16S_36	145710	121588	121588	121588 (24838 uniques)	120978 (355 uniques)	118040 (309 uniques)	65574 (297 uniques)	64239 (273 uniques)	64239 (273 uniques)	64239 (273 uniques)	64108 (266 uniques)	64107 (265 uniques)	5000 (196 uniques)	5000 (187 uniques)
16S_37	2684	1814	1814	1814 (492 uniques)	1721 (16 uniques)	1675 (11 uniques)	1675 (10 uniques)	1675 (10 uniques)	1675 (10 uniques)	1675 (10 uniques)	382 (8 uniques)	382 (8 uniques)	/	/
16S_37_r	75242	66401	66401	66401 (11364 uniques)	66154 (35 uniques)	66052 (29 uniques)	66036 (23 uniques)	66031 (22 uniques)	66031 (22 uniques)	66031 (22 uniques)	46528 (17 uniques)	46528 (17 uniques)	5000 (13 uniques)	5000 (13 uniques)
16S_38	86806	70415	70415	70415 (12280 uniques)	69747 (356 uniques)	68977 (296 uniques)	19676 (287 uniques)	19676 (287 uniques)	19676 (287 uniques)	19676 (287 uniques)	15794 (245 uniques)	15788 (242 uniques)	5000 (231 uniques)	5000 (228 uniques)
16S_39	141263	124751	124751	124751 (56546 uniques)	122497 (1204 uniques)	116937 (1063 uniques)	116896 (1016 uniques)	115833 (989 uniques)	115833 (989 uniques)	115833 (989 uniques)	102401 (977 uniques)	102389 (969 uniques)	5000 (677 uniques)	5000 (653 uniques)
16S_4	195882	176636	176636	176636 (34771 uniques)	175961 (179 uniques)	175205 (148 uniques)	175185 (141 uniques)	173796 (116 uniques)	173796 (116 uniques)	173796 (116 uniques)	14864 (102 uniques)	14861 (100 uniques)	5000 (93 uniques)	5000 (92 uniques)
16S_40	122802	106929	106929	106929 (40547 uniques)	105728 (500 uniques)	102786 (454 uniques)	102662 (445 uniques)	99887 (376 uniques)	99887 (376 uniques)	99887 (376 uniques)	99301 (370 uniques)	99295 (366 uniques)	5000 (245 uniques)	5000 (225 uniques)
16S_41	109680	97201	97201	97201 (22094 uniques)	96727 (109 uniques)	96060 (94 uniques)	96023 (85 uniques)	94792 (68 uniques)	94792 (68 uniques)	94792 (68 uniques)	13248 (59 uniques)	13248 (59 uniques)	5000 (59 uniques)	5000 (58 uniques)
16S_42	112782	98827	98827	98827 (26657 uniques)	98208 (226 uniques)	94775 (183 uniques)	94743 (178 uniques)	94618 (172 uniques)	94618 (172 uniques)	94618 (172 uniques)	25893 (161 uniques)	25893 (161 uniques)	5000 (151 uniques)	5000 (148 uniques)
16S_43	82651	74527	74527	74527 (12565 uniques)	74270 (54 uniques)	74113 (51 uniques)	74102 (46 uniques)	73997 (39 uniques)	73997 (39 uniques)	73997 (39 uniques)	42405 (25 uniques)	42405 (25 uniques)	5000 (16 uniques)	5000 (16 uniques)
16S_44	103866	88787	88787	88787 (32875 uniques)	87450 (936 uniques)	84360 (772 uniques)	75451 (760 uniques)	74681 (736 uniques)	74681 (736 uniques)	74681 (736 uniques)	73573 (717 uniques)	73564 (712 uniques)	5000 (542 uniques)	5000 (525 uniques)
