"","Genus","Species"
"Otu00444",NA,NA
"Otu00445",NA,NA
"Otu00446",NA,NA
"Otu00447",NA,NA
"Otu00449",NA,NA
"Otu00450",NA,"asaccharophila/depolymerans/puraquae/saccharophila/toxinivorans"
"Otu00453","Lentilitoribacter","donghaensis"
"Otu00454",NA,NA
"Otu00455",NA,NA
"Otu00456",NA,NA
"Otu00457",NA,NA
"Otu00458",NA,NA
"Otu00459",NA,NA
"Otu00461",NA,NA
"Otu00462",NA,NA
"Otu00463",NA,NA
"Otu00465",NA,NA
"Otu00466",NA,NA
"Otu00468",NA,NA
"Otu00469",NA,NA
"Otu00470",NA,NA
"Otu00471",NA,NA
"Otu00472",NA,NA
"Otu00473",NA,NA
"Otu00475",NA,NA
"Otu00476",NA,NA
"Otu00477",NA,NA
"Otu00478",NA,NA
"Otu00479","Vibrio","areninigrae/coralliilyticus/harveyi/hispanicus"
"Otu00480","Pseudooceanicola","nitratireducens"
"Otu00481",NA,NA
"Otu00482",NA,NA
"Otu00483",NA,NA
"Otu00484",NA,NA
"Otu00485",NA,NA
"Otu00486",NA,NA
"Otu00487",NA,NA
"Otu00488",NA,NA
"Otu00489",NA,NA
"Otu00490",NA,NA
"Otu00491",NA,NA
"Otu00492",NA,NA
"Otu00493","Novosphingobium","fontis"
"Otu00494",NA,NA
"Otu00496",NA,NA
"Otu00497","Dokdonia","diaphoros/donghaensis/eikasta/genika"
"Otu00498",NA,NA
"Otu00499",NA,NA
"Otu00500",NA,NA
"Otu00502","Psychrobacter","marincola"
"Otu00503",NA,NA
"Otu00504",NA,NA
"Otu00505",NA,NA
"Otu00506",NA,NA
"Otu00507",NA,NA
"Otu00508",NA,NA
"Otu00510",NA,NA
"Otu00511",NA,NA
"Otu00512",NA,NA
"Otu00513",NA,NA
"Otu00514",NA,NA
"Otu00515",NA,NA
"Otu00516",NA,NA
"Otu00517",NA,NA
"Otu00518",NA,NA
"Otu00519",NA,NA
"Otu00520",NA,NA
"Otu00521","Pseudopelagicola","gijangensis"
"Otu00522",NA,NA
"Otu00523",NA,NA
"Otu00524",NA,NA
"Otu00525",NA,NA
"Otu00526",NA,NA
"Otu00527",NA,NA
"Otu00529",NA,NA
"Otu00530",NA,NA
"Otu00531",NA,"aerogenes/agglomerans/agrestis/amnigena/aphidicola/asburiae/ascorbata/bugandensis/cancerogenus/cloacae/cryocrescens/ferragutiae/granulomatis/hormaechei/intermedia/izardii/kobei/ludwigii/mori/muelleri/nimipressuralis/noackiae/ornithinolytica/oxytoca/persicina/piriflorinigrans/pneumoniae/quasipneumoniae/rhapontici/rodasii/rwandensis/soli/tabaci/turicensis/variicola/warmboldiae/xiangfangensis"
"Otu00532",NA,NA
"Otu00533",NA,NA
"Otu00534",NA,NA
"Otu00535",NA,NA
"Otu00536",NA,NA
"Otu00537",NA,NA
"Otu00538",NA,NA
"Otu00540",NA,NA
"Otu00541",NA,NA
"Otu00542",NA,NA
"Otu00543",NA,NA
"Otu00544",NA,NA
"Otu00545",NA,NA
"Otu00546",NA,NA
"Otu00547",NA,NA
"Otu00549",NA,NA
"Otu00550","Bacteroides","dorei/fragilis"
"Otu00551",NA,NA
"Otu00552",NA,NA
"Otu00553",NA,NA
"Otu00554",NA,NA
"Otu00555",NA,NA
"Otu00557","Loktanella","aestuariicola/cinnabarina/hongkongensis"
"Otu00558",NA,NA
"Otu00559",NA,NA
"Otu00560",NA,NA
"Otu00561",NA,NA
"Otu00562",NA,NA
"Otu00563",NA,NA
"Otu00564",NA,NA
"Otu00565",NA,NA
"Otu00566",NA,NA
"Otu00567",NA,NA
"Otu00568",NA,NA
"Otu00569",NA,NA
"Otu00570",NA,NA
"Otu00571",NA,NA
"Otu00573",NA,NA
"Otu00574",NA,NA
"Otu00575",NA,NA
"Otu00576",NA,NA
"Otu00577",NA,NA
"Otu00578",NA,NA
"Otu00580",NA,NA
"Otu00581",NA,NA
"Otu00582",NA,NA
"Otu00583","Bacteroides","uniformis"
"Otu00584",NA,NA
"Otu00585","Trichococcus","collinsii/flocculiformis/palustris/pasteurii/patagoniensis"
"Otu00586",NA,NA
"Otu00587",NA,"caerulea/multivorans"
"Otu00588",NA,NA
"Otu00589",NA,NA
"Otu00590","Bacteroides","dorei/stercoris"
"Otu00592",NA,NA
"Otu00593",NA,NA
"Otu00594",NA,NA
"Otu00595",NA,NA
"Otu00596",NA,NA
"Otu00597",NA,NA
"Otu00598",NA,NA
"Otu00599",NA,NA
"Otu00601",NA,NA
"Otu00602","Acinetobacter","baumannii/beijerinckii/calcoaceticus/dispersus/gyllenbergii/haemolyticus/junii/oryzae/parvus/tandoii/tjernbergiae"
"Otu00603",NA,NA
"Otu00604",NA,NA
"Otu00605",NA,NA
"Otu00607",NA,NA
"Otu00608",NA,NA
"Otu00609",NA,NA
"Otu00610",NA,NA
"Otu00611",NA,NA
"Otu00612",NA,NA
"Otu00613",NA,NA
"Otu00614","Variovorax","paradoxus"
"Otu00615",NA,NA
"Otu00616",NA,NA
"Otu00617",NA,NA
"Otu00619",NA,NA
"Otu00620",NA,NA
"Otu00621",NA,NA
