sample_number,sampleID,genus,phylum,nutrient_source,nutrient_percent,treatment,tank,experiment,type,description,notes,project,contact
16,PF_M_T1_C2,Caulerpa,Green,Deep Sea Water,2.5,Medium Flow,Tank 1,12hr Pulsed Flume,limu,Caulerpa in nightly pulsed deep sea water flume at different flow rates,Nov sampling trip,Ocean Era Nov22,Sean and Nic
136,PF_M_T1_WA,Caulerpa,Green,Deep Sea Water,2.5,Medium Flow,Tank 1,12hr Pulsed Flume,filter,Caulerpa in nightly pulsed deep sea water flume at different flow rates,Nov sampling water,Ocean Era Nov22,Sean and Nic
46,PF_M_T2_C1,Caulerpa,Green,Deep Sea Water,2.5,Medium Flow,Tank 2,12hr Pulsed Flume,limu,Caulerpa in nightly pulsed deep sea water flume at different flow rates,Nov sampling trip,Ocean Era Nov22,Sean and Nic
22,PF_M_T2_C2,Caulerpa,Green,Deep Sea Water,2.5,Medium Flow,Tank 2,12hr Pulsed Flume,limu,Caulerpa in nightly pulsed deep sea water flume at different flow rates,Nov sampling trip,Ocean Era Nov22,Sean and Nic
111,PF_M_T2_WA,Caulerpa,Green,Deep Sea Water,2.5,Medium Flow,Tank 2,12hr Pulsed Flume,filter,Caulerpa in nightly pulsed deep sea water flume at different flow rates,Nov sampling water,Ocean Era Nov22,Sean and Nic
84,S1_ULVA,Ulva,Green,Unknown,NA,NA,NA,NA,limu,Samples from freezer at ocean era,Collected by Ocean Era,Ocean Era Freezer,Sean and Nic
93,S2_ULVA,Ulva,Green,Unknown,NA,NA,NA,NA,limu,Samples from freezer at ocean era,Collected by Ocean Era,Ocean Era Freezer,Sean and Nic
95,S3_HALYM,Halymenia,Red,Unknown,NA,NA,NA,NA,limu,Samples from freezer at ocean era,Collected by Ocean Era,Ocean Era Freezer,Sean and Nic
96,S5_CAULERPA,Caulerpa,Green,Unknown,NA,NA,NA,NA,limu,Samples from freezer at ocean era,Collected by Ocean Era,Ocean Era Freezer,Sean and Nic
87,S6_HALYM,Halymenia,Red,Unknown,NA,NA,NA,NA,limu,Samples from freezer at ocean era,Collected by Ocean Era,Ocean Era Freezer,Sean and Nic
53,SD_A_T1_C1,Aghardiella,Red,Deep Sea Water,20,NA,Tank 1,Stocking Density,limu,Aghardiella grown with deep sea water,Nov sampling trip,Ocean Era Nov22,Sean and Nic
34,SD_A_T1_C2,Aghardiella,Red,Deep Sea Water,20,NA,Tank 1,Stocking Density,limu,Aghardiella grown with deep sea water,Nov sampling trip,Ocean Era Nov22,Sean and Nic
21,SD_A_T1_C3,Aghardiella,Red,Deep Sea Water,20,NA,Tank 1,Stocking Density,limu,Aghardiella grown with deep sea water,Nov sampling trip,Ocean Era Nov22,Sean and Nic
132,SD_A_T1_WA,Aghardiella water,Red,Deep Sea Water,20,NA,Tank 1,Stocking Density,filter,Aghardiella grown with deep sea water,Nov sampling water,Ocean Era Nov22,Sean and Nic
45,SD_A_T2_C1,Aghardiella,Red,Deep Sea Water,20,NA,Tank 2,Stocking Density,limu,Aghardiella grown with deep sea water,Nov sampling trip,Ocean Era Nov22,Sean and Nic
