sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
16S_69	758	60	58	70	64	71	49	38	43	56	34	25	27	14	3	4	3	3
16S_6	886	72	80	101	93	84	74	60	55	62	44	30	26	15	10	6	1	2
16S_70	1147	105	106	128	120	101	111	90	89	65	67	50	32	34	10	4	2	3
16S_71	557	55	78	65	75	70	45	41	32	36	29	12	9	8	5	3	1	3
16S_72	1018	86	114	145	110	85	79	79	63	66	73	45	29	21	14	12	4	4
16S_73	147	9	9	5	8	5	3	1	0	3	2	2	5	1	1	0	0	0
16S_74	200	19	10	14	7	7	10	12	4	7	5	1	2	0	0	0	1	0
16S_75	243	20	11	23	9	11	14	6	7	15	5	3	1	3	1	2	0	0
16S_76	74	9	2	1	6	2	5	1	4	0	3	3	0	0	0	0	0	0
16S_77	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16S_77_r	80	3	2	1	3	1	1	2	2	1	0	2	0	1	0	0	0	0
16S_78	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16S_78_r	320	12	11	11	11	15	9	6	15	10	9	2	2	2	0	1	0	0
16S_79	731	80	85	91	66	53	38	28	24	11	14	14	5	11	1	1	1	0
16S_7	53	8	1	2	10	5	9	5	2	2	3	1	1	0	0	0	0	0
16S_80	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16S_80_r	207	7	4	10	2	7	7	7	4	7	6	0	4	0	0	0	0	0
16S_81	628	25	45	39	43	30	17	26	10	23	18	15	7	7	3	5	1	0
16S_82	153	17	6	5	7	8	7	2	4	7	1	4	1	3	0	0	0	0
16S_83	891	105	135	166	127	91	105	81	70	71	63	49	27	28	6	10	3	2
16S_84	62	4	3	3	0	2	0	1	3	0	0	1	1	0	0	0	0	0
16S_84_manual	324	30	28	36	17	13	12	8	9	13	6	7	10	4	1	2	1	0
16S_84_r	41	5	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16S_85	9	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
16S_85_r	72	6	1	2	3	1	6	1	3	3	2	1	1	0	0	0	1	0
16S_86	752	102	106	117	90	66	70	63	56	46	30	40	15	9	8	5	2	1
16S_87	58	6	0	0	1	2	1	1	2	0	1	0	0	0	0	0	0	0
16S_88	11	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
16S_88_r	324	18	14	17	15	12	11	19	7	11	7	3	4	5	1	1	0	2
16S_89	12	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
16S_89_r	13	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16S_8	147	6	8	3	5	9	4	1	2	2	1	2	0	0	0	0	0	1
16S_90	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16S_90_r	17	4	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
16S_91	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16S_91_r	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16S_92	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16S_92_r	122	12	1	5	3	6	2	5	1	2	3	4	2	1	0	0	0	0
16S_93	466	30	38	42	31	42	22	27	20	26	24	24	13	8	3	5	2	2
16S_94	580	66	54	74	61	63	65	68	31	43	43	31	13	15	7	2	0	1
16S_95	91	6	3	1	5	4	4	3	2	1	1	0	3	1	0	0	0	0
16S_96	216	2	5	9	12	10	5	10	10	12	5	8	6	7	3	3	1	0
16S_96_r	331	8	2	9	15	10	10	8	5	2	4	1	4	2	2	1	1	0
16S_97	138	8	4	5	3	2	10	2	2	1	1	1	3	2	0	0	0	0
16S_97_r	96	4	1	0	2	4	1	3	4	1	1	0	0	0	1	2	0	0
16S_98	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16S_98_r	240	14	6	9	4	4	2	8	5	7	5	4	4	1	1	1	0	0
16S_99	390	29	42	45	29	32	40	37	17	31	17	24	10	7	2	1	0	2
16S_9	622	27	38	49	42	31	52	37	24	28	28	24	14	11	4	4	0	1
16S_P1_NTC2	12	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
16S_P1_NTC	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16S_P1_ext_neg	32	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16S_P1_mPNA_NTC	17	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
16S_P1_mock	336	217	161	133	113	69	26	28	24	18	6	6	1	1	0	0	0	0
16S_P237_NOV_2020	39	3	2	1	0	0	1	2	1	0	0	0	0	0	0	0	0	0
16S_P26_NOV_2020	95	5	4	0	0	2	4	3	1	2	2	2	0	0	0	0	0	0
16S_P2_NTC1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16S_P2_NTC1_pPNA	23	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
16S_P2_NTC2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16S_P2_NTC2_pPNA	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16S_P2_ext_neg_1	28	4	2	2	0	2	1	0	0	0	0	0	0	1	1	0	0	0
16S_P2_ext_neg_2	36	10	2	0	0	0	0	2	1	1	3	0	0	0	0	2	0	0
16S_P2_mock	330	179	150	134	143	98	48	29	31	32	19	8	1	2	1	1	0	0
16S_P2_mock_pPNA	625	329	286	209	223	123	57	59	45	56	33	31	6	1	3	2	0	0
16S_P41_NOV_2020	118	5	2	3	3	4	6	5	0	3	0	0	0	0	1	0	0	0
16S_P42_NOV_2020	373	20	13	4	5	8	9	12	4	6	4	4	3	5	0	1	0	0
16S_P43_NOV_2020	189	7	22	2	1	1	2	0	3	1	3	0	0	0	0	2	1	0
16S_P44_NOV_2020	73	28	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
